Op,Case,Shape,step_x
gemm_fp8_tw,Llama-3.1-405B,M=32768 N=106496 K=16384,1.1947964558212456
gemm_fp8_tw,Llama-3.1-405B,M=32768 N=128256 K=16384,1.1732289403396117
gemm_fp8_tw,Llama-3.1-405B,M=32768 N=16384 K=16384,1.1721809131050571
gemm_fp8_tw,Llama-3.1-405B,M=32768 N=16384 K=53248,1.1789879310747313
gemm_fp8_tw,Llama-3.1-405B,M=32768 N=18432 K=16384,1.1690229536759968
gemm_fp8_tw,Llama-3.1-405B,M=8192 N=106496 K=16384,1.236879163648685
gemm_fp8_tw,Llama-3.1-405B,M=8192 N=128256 K=16384,1.155461628914315
gemm_fp8_tw,Llama-3.1-405B,M=8192 N=16384 K=16384,1.1283688073732039
gemm_fp8_tw,Llama-3.1-405B,M=8192 N=16384 K=53248,1.1768182594481178
gemm_fp8_tw,Llama-3.1-405B,M=8192 N=18432 K=16384,1.1465327042530804
gemm_fp8_tw,Llama-3.1-8B,M=32768 N=128256 K=4096,1.2010863992517251
gemm_fp8_tw,Llama-3.1-8B,M=32768 N=28672 K=4096,1.1490938042528722
gemm_fp8_tw,Llama-3.1-8B,M=32768 N=4096 K=14336,1.1510737664127397
gemm_fp8_tw,Llama-3.1-8B,M=32768 N=4096 K=4096,1.1307988092284793
gemm_fp8_tw,Llama-3.1-8B,M=32768 N=6144 K=4096,1.1517069180765422
gemm_fp8_tw,Llama-3.1-8B,M=8192 N=128256 K=4096,1.1539304590691344
gemm_fp8_tw,Llama-3.1-8B,M=8192 N=28672 K=4096,1.1358573717948717
gemm_fp8_tw,Llama-3.1-8B,M=8192 N=4096 K=14336,1.130748790624787
gemm_fp8_tw,Llama-3.1-8B,M=8192 N=4096 K=4096,1.1221164021164023
gemm_fp8_tw,Llama-3.1-8B,M=8192 N=6144 K=4096,1.1718888560449305
gemm_fp8_tw,Qwen2.5-72B,M=32768 N=10240 K=8192,1.1411285904359396
gemm_fp8_tw,Qwen2.5-72B,M=32768 N=152064 K=8192,1.1859954540169484
gemm_fp8_tw,Qwen2.5-72B,M=32768 N=59136 K=8192,1.1657740958233427
gemm_fp8_tw,Qwen2.5-72B,M=32768 N=8192 K=29568,1.217905093221721
gemm_fp8_tw,Qwen2.5-72B,M=32768 N=8192 K=8192,1.1322957932465572
gemm_fp8_tw,Qwen2.5-72B,M=8192 N=10240 K=8192,1.1151649570280013
gemm_fp8_tw,Qwen2.5-72B,M=8192 N=152064 K=8192,1.1676858876161607
gemm_fp8_tw,Qwen2.5-72B,M=8192 N=59136 K=8192,1.171301398897838
gemm_fp8_tw,Qwen2.5-72B,M=8192 N=8192 K=29568,1.1662169237585083
gemm_fp8_tw,Qwen2.5-72B,M=8192 N=8192 K=8192,1.1161422708618332
gg_bf16,DeepSeek-V3-Down,M=1024 N=7168 K=2048,0.8440739460953697
gg_bf16,DeepSeek-V3-Down,M=4096 N=7168 K=2048,1.1638372299847823
gg_bf16,DeepSeek-V3-Down,M=8192 N=7168 K=2048,1.2487768515213238
gg_bf16,DeepSeek-V3-GateUP,M=1024 N=4096 K=7168,0.8481059899234932
gg_bf16,DeepSeek-V3-GateUP,M=4096 N=4096 K=7168,1.1487922332345761
gg_bf16,DeepSeek-V3-GateUP,M=8192 N=4096 K=7168,1.2329724544333287
gg_bf16,Kimi-K2-Down,M=1024 N=7168 K=2048,0.9505451844850287
gg_bf16,Kimi-K2-Down,M=4096 N=7168 K=2048,1.1402332958150005
gg_bf16,Kimi-K2-Down,M=8192 N=7168 K=2048,1.6287267482711436
gg_bf16,Kimi-K2-GateUP,M=1024 N=4096 K=7168,0.887877617504324
gg_bf16,Kimi-K2-GateUP,M=4096 N=4096 K=7168,1.130516133138166
gg_bf16,Kimi-K2-GateUP,M=8192 N=4096 K=7168,1.2345743837330185
gg_bf16,Qwen3-235B-A22B-Down,M=1024 N=4096 K=4096,0.8373715988394888
gg_bf16,Qwen3-235B-A22B-Down,M=4096 N=4096 K=4096,1.1251476959432847
gg_bf16,Qwen3-235B-A22B-Down,M=8192 N=4096 K=4096,1.1545569531304898
gg_bf16,Qwen3-235B-A22B-GateUP,M=1024 N=8192 K=4096,0.9013603934949262
gg_bf16,Qwen3-235B-A22B-GateUP,M=4096 N=8192 K=4096,1.146776052147292
gg_bf16,Qwen3-235B-A22B-GateUP,M=8192 N=8192 K=4096,1.1745288157751388
gg_fp4_mx,DeepSeek-V3-Down,M=1024 N=7168 K=2048,1.3139329805996474
gg_fp4_mx,DeepSeek-V3-Down,M=4096 N=7168 K=2048,1.5716024340770791
gg_fp4_mx,DeepSeek-V3-Down,M=8192 N=7168 K=2048,1.5491006110680783
gg_fp4_mx,DeepSeek-V3-GateUP,M=1024 N=4096 K=7168,1.3407126905524809
gg_fp4_mx,DeepSeek-V3-GateUP,M=4096 N=4096 K=7168,1.5309957924263673
gg_fp4_mx,DeepSeek-V3-GateUP,M=8192 N=4096 K=7168,1.5901983289520776
gg_fp4_mx,Kimi-K2-Down,M=1024 N=7168 K=2048,1.3830090791180287
gg_fp4_mx,Kimi-K2-Down,M=4096 N=7168 K=2048,1.5412766407530805
gg_fp4_mx,Kimi-K2-Down,M=8192 N=7168 K=2048,1.6106860099960192
gg_fp4_mx,Kimi-K2-GateUP,M=1024 N=4096 K=7168,1.3683537918278121
gg_fp4_mx,Kimi-K2-GateUP,M=4096 N=4096 K=7168,1.5209368751785204
gg_fp4_mx,Kimi-K2-GateUP,M=8192 N=4096 K=7168,1.574799264700031
gg_fp4_mx,Mixtral-8x22B-Down,M=1024 N=6144 K=16384,1.3479814970563497
gg_fp4_mx,Mixtral-8x22B-Down,M=4096 N=6144 K=16384,1.5977459448072466
gg_fp4_mx,Mixtral-8x22B-Down,M=8192 N=6144 K=16384,1.6068952476994833
gg_fp4_mx,Mixtral-8x22B-GateUP,M=1024 N=32768 K=6144,1.508182601205857
gg_fp4_mx,Mixtral-8x22B-GateUP,M=4096 N=32768 K=6144,1.685813697961177
gg_fp4_mx,Mixtral-8x22B-GateUP,M=8192 N=32768 K=6144,1.6549254146528043
gg_fp4_mx,Qwen3-235B-A22B-Down,M=1024 N=4096 K=4096,1.3393121606055618
gg_fp4_mx,Qwen3-235B-A22B-Down,M=4096 N=4096 K=4096,1.545042492917847
gg_fp4_mx,Qwen3-235B-A22B-Down,M=8192 N=4096 K=4096,1.5681502086230876
gg_fp4_mx,Qwen3-235B-A22B-GateUP,M=1024 N=8192 K=4096,1.4303809523809523
gg_fp4_mx,Qwen3-235B-A22B-GateUP,M=4096 N=8192 K=4096,1.6265546761427883
gg_fp4_mx,Qwen3-235B-A22B-GateUP,M=8192 N=8192 K=4096,1.6568328550932567
gg_fp8_mx,DeepSeek-V3-Down,M=1024 N=7168 K=2048,1.2400677347922364
gg_fp8_mx,DeepSeek-V3-Down,M=4096 N=7168 K=2048,1.3666247577138666
gg_fp8_mx,DeepSeek-V3-Down,M=8192 N=7168 K=2048,1.35155928577306
gg_fp8_mx,DeepSeek-V3-GateUP,M=1024 N=4096 K=7168,1.2366258111031
gg_fp8_mx,DeepSeek-V3-GateUP,M=4096 N=4096 K=7168,1.308622011570363
gg_fp8_mx,DeepSeek-V3-GateUP,M=8192 N=4096 K=7168,1.3295590636908001
gg_fp8_mx,Kimi-K2-Down,M=1024 N=7168 K=2048,1.2285037237643872
gg_fp8_mx,Kimi-K2-Down,M=4096 N=7168 K=2048,1.3564011379800855
gg_fp8_mx,Kimi-K2-Down,M=8192 N=7168 K=2048,1.3460249640355937
gg_fp8_mx,Kimi-K2-GateUP,M=1024 N=4096 K=7168,1.267507827028554
gg_fp8_mx,Kimi-K2-GateUP,M=4096 N=4096 K=7168,1.338109549200194
gg_fp8_mx,Kimi-K2-GateUP,M=8192 N=4096 K=7168,1.3228343044252902
gg_fp8_mx,Mixtral-8x22B-Down,M=1024 N=6144 K=16384,1.244278303326213
